11772.8,12541.89,14.67,vehicle_9,2020-12-08 00:00:21
11774.09,12542.51,14.66,vehicle_9,2020-12-08 00:00:21
11775.37,12543.13,14.6,vehicle_9,2020-12-08 00:00:21
11776.66,12543.75,14.66,vehicle_9,2020-12-08 00:00:21
11777.95,12544.37,14.65,vehicle_9,2020-12-08 00:00:21
11779.24,12544.99,14.7,vehicle_9,2020-12-08 00:00:21
11780.52,12545.61,14.64,vehicle_9,2020-12-08 00:00:21
11781.81,12546.23,14.64,vehicle_9,2020-12-08 00:00:21
11783.08,12546.84,14.47,vehicle_9,2020-12-08 00:00:22
11784.31,12547.44,14.09,vehicle_9,2020-12-08 00:00:22
11785.51,12548.02,13.64,vehicle_9,2020-12-08 00:00:22
11786.67,12548.58,13.21,vehicle_9,2020-12-08 00:00:22
11787.79,12549.12,12.76,vehicle_9,2020-12-08 00:00:22
11788.87,12549.64,12.31,vehicle_9,2020-12-08 00:00:22
11789.91,12550.14,11.86,vehicle_9,2020-12-08 00:00:22
11790.91,12550.62,11.41,vehicle_9,2020-12-08 00:00:22
11791.88,12551.09,10.96,vehicle_9,2020-12-08 00:00:22
11792.8,12551.53,10.51,vehicle_9,2020-12-08 00:00:22
11793.69,12551.96,10.11,vehicle_9,2020-12-08 00:00:23
11794.54,12552.35,9.66,vehicle_9,2020-12-08 00:00:23
11795.39,12552.65,9.21,vehicle_9,2020-12-08 00:00:23
11796.19,12552.93,8.76,vehicle_9,2020-12-08 00:00:23
11796.96,12553.2,8.31,vehicle_9,2020-12-08 00:00:23
11797.68,12553.46,7.86,vehicle_9,2020-12-08 00:00:23
11798.36,12553.7,7.43,vehicle_9,2020-12-08 00:00:23
11799.0,12553.92,6.98,vehicle_9,2020-12-08 00:00:23
11799.6,12554.13,6.53,vehicle_9,2020-12-08 00:00:23
11800.16,12554.33,6.08,vehicle_9,2020-12-08 00:00:23
11800.75,12554.53,6.34,vehicle_9,2020-12-08 00:00:24
11801.35,12554.74,6.6,vehicle_9,2020-12-08 00:00:24
11801.98,12554.97,6.86,vehicle_9,2020-12-08 00:00:24
11802.64,12555.2,7.12,vehicle_9,2020-12-08 00:00:24
11803.32,12555.43,7.38,vehicle_9,2020-12-08 00:00:24
11810.39,12551.2,7.56,vehicle_9,2020-12-08 00:00:24
11810.7,12550.56,7.77,vehicle_9,2020-12-08 00:00:24
11811.02,12549.91,8.02,vehicle_9,2020-12-08 00:00:24
11811.35,12549.24,8.2,vehicle_9,2020-12-08 00:00:24
11811.68,12548.56,8.41,vehicle_9,2020-12-08 00:00:24
11812.03,12547.86,8.66,vehicle_9,2020-12-08 00:00:25
11812.38,12547.14,8.82,vehicle_9,2020-12-08 00:00:25
11812.73,12546.43,8.74,vehicle_9,2020-12-08 00:00:25
11813.08,12545.71,8.82,vehicle_9,2020-12-08 00:00:25
11813.43,12545.0,8.76,vehicle_9,2020-12-08 00:00:25
11813.78,12544.28,8.81,vehicle_9,2020-12-08 00:00:25
11814.13,12543.56,8.79,vehicle_9,2020-12-08 00:00:25
11814.49,12542.85,8.8,vehicle_9,2020-12-08 00:00:25
11814.83,12542.13,8.75,vehicle_9,2020-12-08 00:00:25
11815.19,12541.42,8.8,vehicle_9,2020-12-08 00:00:25
11815.54,12540.7,8.78,vehicle_9,2020-12-08 00:00:26
11815.88,12539.99,8.7,vehicle_9,2020-12-08 00:00:26
11816.24,12539.28,8.83,vehicle_9,2020-12-08 00:00:26
11816.59,12538.56,8.81,vehicle_9,2020-12-08 00:00:26
11816.94,12537.85,8.7,vehicle_9,2020-12-08 00:00:26
11817.28,12537.14,8.72,vehicle_9,2020-12-08 00:00:26
11817.63,12536.43,8.74,vehicle_9,2020-12-08 00:00:26
11817.98,12535.71,8.82,vehicle_9,2020-12-08 00:00:26
11818.34,12534.99,8.83,vehicle_9,2020-12-08 00:00:26
11818.69,12534.28,8.74,vehicle_9,2020-12-08 00:00:26
11819.03,12533.57,8.7,vehicle_9,2020-12-08 00:00:27
11819.38,12532.86,8.76,vehicle_9,2020-12-08 00:00:27
11819.73,12532.15,8.78,vehicle_9,2020-12-08 00:00:27
11820.08,12531.44,8.72,vehicle_9,2020-12-08 00:00:27
