scenario,packetLoss,maxSpeed,repetition,warningTime,collisionTime,predictedTurn
WaveDelay,0.0,11.6,25,25.630895335201,27.3,1
WaveDelay,0.0,11.6,26,25.670649525202,27.3,1
WaveDelay,0.0,11.6,27,25.693283744844,27.3,1
WaveDelay,0.0,11.6,28,25.610173222799,27.3,1
WaveDelay,0.0,11.6,29,25.642115606786,27.3,1
WaveDelay,0.0,11.6,3,25.659300446309,27.3,1
WaveDelay,0.0,11.6,4,25.659028652368,27.3,1
WaveDelay,0.0,11.6,5,25.637292522826,27.3,1
WaveDelay,0.0,11.6,6,25.656947456605,27.3,1
WaveDelay,0.0,11.6,7,25.696923757444,27.3,1
WaveDelay,0.0,11.6,8,25.616686317818,27.3,1
WaveDelay,0.0,11.6,9,25.663942730884,27.3,1
WaveDelay,0.0,11.9,0,25.284273614888,26.9,1
WaveDelay,0.0,11.9,1,25.279606585277,26.9,1
WaveDelay,0.0,11.9,10,25.251551387729,26.9,1
WaveDelay,0.0,11.9,11,25.244844404847,26.9,1
WaveDelay,0.0,11.9,12,25.281543678446,26.9,1
WaveDelay,0.0,11.9,13,25.231623375653,26.9,1
WaveDelay,0.0,11.9,14,25.210107196848,26.9,1
WaveDelay,0.0,11.9,15,25.255985433807,26.9,1
WaveDelay,0.0,11.9,16,25.240541435021,26.9,1
WaveDelay,0.0,11.9,17,25.215658235029,26.9,1
WaveDelay,0.0,11.9,18,25.222522118218,26.9,1
WaveDelay,0.0,11.9,19,25.278501668454,26.9,1
WaveDelay,0.0,11.9,2,25.257454551223,26.9,1
WaveDelay,0.0,11.9,20,25.283818594025,26.9,1
WaveDelay,0.0,11.9,21,25.25711650592,26.9,1
WaveDelay,0.0,11.9,22,25.280737613286,26.9,1
WaveDelay,0.0,11.9,23,25.258819519328,26.9,1
WaveDelay,0.0,11.9,24,25.238980246208,26.9,1
WaveDelay,0.0,11.9,25,25.204465186028,26.9,1
WaveDelay,0.0,11.9,26,25.264291339236,26.9,1
WaveDelay,0.0,11.9,27,25.245051345098,26.9,1
WaveDelay,0.0,11.9,28,25.236874323306,26.9,1
WaveDelay,0.0,11.9,29,25.267425577186,26.9,1
WaveDelay,0.0,11.9,3,25.275407550744,26.9,1
WaveDelay,0.0,11.9,4,25.290695676625,26.9,1
WaveDelay,0.0,11.9,5,25.291293585436,26.9,1
WaveDelay,0.0,11.9,6,25.289174554364,26.9,1
WaveDelay,0.0,11.9,7,25.23908545507,26.9,1
WaveDelay,0.0,11.9,8,25.298534781665,26.9,1
WaveDelay,0.0,11.9,9,25.267672515849,26.9,1
WaveDelay,0.0,12.2,0,11.279467827553,26.6,1
WaveDelay,0.0,12.2,1,11.212009822503,26.6,1
WaveDelay,0.0,12.2,10,11.255052809269,26.6,1
WaveDelay,0.0,12.2,11,11.254818813103,26.6,1
WaveDelay,0.0,12.2,12,11.253141809686,26.6,1
WaveDelay,0.0,12.2,13,11.277139804675,26.6,1
WaveDelay,0.0,12.2,14,11.235969835481,26.6,1
WaveDelay,0.0,12.2,15,11.29943582066,26.6,1
WaveDelay,0.0,12.2,16,11.232003812001,26.6,1
WaveDelay,0.0,12.2,17,11.245081810082,26.6,1
WaveDelay,0.0,12.2,18,11.219835818167,26.6,1
WaveDelay,0.0,12.2,19,11.278024824168,26.6,1
WaveDelay,0.0,12.2,2,11.207134825029,26.6,1
WaveDelay,0.0,12.2,20,11.238204812933,26.6,1
WaveDelay,0.0,12.2,21,11.255014832665,26.6,1
WaveDelay,0.0,12.2,22,11.293831801749,26.6,1
WaveDelay,0.0,12.2,23,11.205743824679,26.6,1
WaveDelay,0.0,12.2,24,11.297056813013,26.6,1
WaveDelay,0.0,12.2,25,11.26538882374,26.6,1
WaveDelay,0.0,12.2,26,11.264205821993,26.6,1
WaveDelay,0.0,12.2,27,11.232433833196,26.6,1
WaveDelay,0.0,12.2,28,11.297641812313,26.6,1
WaveDelay,0.0,12.2,29,11.222774834947,26.6,1
WaveDelay,0.0,12.2,3,11.235240812858,26.6,1
WaveDelay,0.0,12.2,4,11.274929805154,26.6,1
WaveDelay,0.0,12.2,5,11.28542182785,26.6,1
WaveDelay,0.0,12.2,6,11.282470825128,26.6,1
WaveDelay,0.0,12.2,7,11.282262823906,26.6,1
WaveDelay,0.0,12.2,8,11.255534825425,26.6,1
